pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 1502 b,,874.0325,428.5,0.031,HD 1502,1.46,4.67,4947.0,190.953,4.8214389,14.054683,2011.0,Radial Velocity,,K
hd 152581 b,,594.02427,686.5,0.04,HD 152581,1.3,5.14,5027.0,165.76,253.4316451,11.9736828,2011.0,Radial Velocity,,K
hd 15337 b,1.47900686,,4.75599951974,,HD 15337,,0.841842,5175.2,44.8155,36.8678846,-27.6361171,2019.0,Transit,1249.44,K
hd 15337 c,2.39,8.11,17.1784,0.05,HD 15337,0.9,0.856,5125.0,44.8155,36.8678846,-27.6361171,2019.0,Transit,642.0,K1 V
hd 154088 b,,6.6,18.56,0.344,HD 154088,0.91,,5374.0,18.2692,256.1164214,-28.5838342,2021.0,Radial Velocity,,K0 IV-V
hd 154391 b,,2892.2385037,5163.0,0.2,HD 154391,2.07,8.56,4909.0,100.947,255.3201345,60.6489226,2023.0,Radial Velocity,,K1 III
hd 156668 b,,4.15,4.6426,0.22,HD 156668,0.79,0.760432,4849.92,24.3323,259.4183491,29.228161,2010.0,Radial Velocity,,K
hd 156668 c,,31.49679513,811.3,0.089,HD 156668,0.785167,0.774528,4903.69,24.3323,259.4183491,29.228161,2021.0,Radial Velocity,,K
hd 158038 b,,486.2799,521.0,0.29,HD 158038,1.3,4.5,4860.0,94.8625,261.4395312,27.3030721,2011.0,Radial Velocity,,K
hd 158996 b,,4449.62,820.2,0.13,HD 158996,1.8,50.3,4069.0,283.659,259.9051092,80.1364033,2018.0,Radial Velocity,,K5 III
hd 15906 b,1.90150181,,10.92454779649,,HD 15906,,0.74413,4884.0,45.5621,38.2712534,-10.352178,2023.0,Transit,621.42,K
hd 15906 c,2.93,,21.583298,0.04,HD 15906,0.79,0.762,4757.0,45.5621,38.2712534,-10.352178,2023.0,Transit,532.0,K V
hd 1605 b,,310.0,577.9,0.078,HD 1605,1.31,3.8,4757.0,88.8047,5.1317548,30.9750611,2015.0,Radial Velocity,,K1 IV
hd 1605 c,,1150.5446,2149.0,0.099,HD 1605,1.33,3.49,4915.0,88.8047,5.1317548,30.9750611,2015.0,Radial Velocity,,K1 IV
hd 162020 b,,4580.0,8.428198,0.277,HD 162020,0.75,,4830.0,30.8248,267.6599252,-40.3184646,2002.0,Radial Velocity,650.0,K3 V
hd 164604 b,,858.105,606.4,0.24,HD 164604,0.8,,,39.3633,270.7787177,-28.5608343,2009.0,Radial Velocity,,K2 V
hd 164604 c,,3019.3698665,5387.0,0.196,HD 164604,0.77,0.78,4663.0,39.3633,270.7787177,-28.5608343,2026.0,Radial Velocity,,K3.5 V
hd 166724 b,,1207.7479466,4750.0,0.729,HD 166724,0.81,,5127.0,45.1342,273.4988604,-42.5757218,2012.0,Radial Velocity,,K0 IV/V
hd 1690 b,,2793.7257,533.0,0.64,HD 1690,1.86,21.66,4374.0,752.615,5.3055886,-8.2811442,2010.0,Radial Velocity,,K
hd 17092 b,,1462.0,359.9,0.166,HD 17092,2.3,,4650.0,228.422,41.5924261,49.6530375,2007.0,Radial Velocity,,K0 III
hd 171238 b,,826.32,1523.0,0.4,HD 171238,0.943,,5467.0,44.8113,278.6818389,-28.0727849,2009.0,Radial Velocity,,K0 V
hd 174205 b,,1334.8793094,582.0,0.4,HD 174205,1.8,26.6,4308.0,234.027,280.7932014,70.7928237,2022.0,Radial Velocity,,K2
hd 176986 d,,6.76,61.376,,HD 176986,0.789,0.782,4931.0,27.7843,285.7739138,-11.044941,2026.0,Radial Velocity,363.0,K2.5 V
hd 177830 b,,486.3,410.1,0.096,HD 177830,,3.30878,4923.79,62.7674,286.3363574,25.9204327,1999.0,Radial Velocity,,K
hd 177830 c,,47.6725,110.9,0.3,HD 177830,1.47,2.62,4949.0,62.7674,286.3363574,25.9204327,2010.0,Radial Velocity,,K
hd 180053 b,,697.31902,213.72,0.081,HD 180053,1.75,4.06,5131.0,137.043,288.4008374,34.9146658,2018.0,Radial Velocity,,K
hd 180314 b,,6397.9179,396.03,0.26,HD 180314,2.2,8.13,4924.0,122.362,288.7094401,31.8604391,2010.0,Radial Velocity,,K
hd 180902 b,,495.8148,479.0,0.09,HD 180902,1.52,3.78,4992.0,104.577,289.8239604,-23.5582432,2009.0,Radial Velocity,,K
hd 181342 b,,921.707,562.1,0.1,HD 181342,1.89,5.12,5040.0,120.391,290.2674078,-23.6196996,2009.0,Radial Velocity,,K0 III
hd 181433 d,,194.51098508,7012.0,0.469,HD 181433,0.78,,4962.0,26.8762,291.2873731,-66.4677838,2008.0,Radial Velocity,,K
hd 184010 b,,98.52680617,286.6,0.0,HD 184010,1.35,4.86,4971.0,60.7993,292.8401421,26.6172796,2022.0,Radial Velocity,,K0 III-IV
hd 184010 c,,95.3485221,484.3,0.0,HD 184010,1.35,4.86,4971.0,60.7993,292.8401421,26.6172796,2022.0,Radial Velocity,,K0 III-IV
hd 184010 d,,143.02278315,836.4,0.0,HD 184010,1.35,4.86,4971.0,60.7993,292.8401421,26.6172796,2022.0,Radial Velocity,,K0 III-IV
hd 185283 b,,413.1769291,4060.0,0.07,HD 185283,0.8,,,31.395,295.3233609,-56.3221096,2023.0,Radial Velocity,,K3 V
hd 18599 b,2.6,24.1,4.1374354,0.34,HD 18599,0.863,0.767,5145.0,38.5653,44.2620144,-56.1918694,2022.0,Transit,,K2 V
hd 18742 b,,1185.5059,772.0,0.12,HD 18742,2.58,5.88,5021.0,162.685,45.0443115,-20.8027024,2011.0,Radial Velocity,,K
