pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
kepler-226 d,,,8.1090679999,,Kepler-226,0.92,0.887751,5338.0,980.138,292.3760942,47.8809596,2014.0,Transit,,G
kepler-227 b,,,9.48803557,,Kepler-227,0.97,0.949466,5524.63,1083.06,291.9342748,48.141676,2014.0,Transit,,G
kepler-227 c,2.83,,54.4183827,0.0,Kepler-227,0.919,0.927,5455.0,1083.06,291.9342748,48.141676,2014.0,Transit,443.0,G
kepler-228 b,1.5,,2.56659092,,Kepler-228,0.95,0.92,5630.0,1644.61,296.2860853,48.2246328,2014.0,Transit,,G
kepler-228 c,,,4.1344785877,,Kepler-228,1.01,1.1757,5675.0,1644.61,296.2860853,48.2246328,2014.0,Transit,,G
kepler-23 c,3.036,,10.74242766,,Kepler-23,0.99,1.491,5823.0,835.756,294.2189131,49.4792536,2011.0,Transit,,G
kepler-23 d,2.28,,15.27438229,0.0,Kepler-23,1.078,1.548,5828.0,835.756,294.2189131,49.4792536,2014.0,Transit,910.0,G
kepler-230 b,,,32.62876672,,Kepler-230,0.92,0.766994,5333.0,740.754,285.7185682,48.5058038,2014.0,Transit,,G
kepler-230 c,2.13,,91.77221,0.0,Kepler-230,0.846,0.796,5588.0,740.754,285.7185682,48.5058038,2014.0,Transit,358.0,G
kepler-232 b,3.07,,4.431242593,0.0,Kepler-232,1.047,0.931,5841.0,1349.13,295.8161668,51.1217249,2014.0,Transit,1074.0,G
kepler-232 c,,,11.379391064,,Kepler-232,0.98,1.13988,5570.0,1349.13,295.8161668,51.1217249,2014.0,Transit,,G
kepler-233 c,2.72,,60.4186137,0.0,Kepler-233,0.884,0.788,5354.0,856.417,296.3665054,51.3194548,2014.0,Transit,390.0,G
kepler-238 b,1.62,,2.090811305,0.0,Kepler-238,1.083,1.384,5739.0,1798.75,287.8971066,40.6378141,2014.0,Transit,1642.0,G
kepler-238 c,2.734,,,,Kepler-238,,1.633,5800.0,1798.75,287.8971066,40.6378141,2014.0,Transit,,G
