pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
at2021ueyl b,,425.89006538,4168.69,,AT2021ueyL,0.49,,3680.0,1040.0,324.5450417,26.4665694,2025.0,Microlensing,,M V,,
au mic b,,10.2,8.4631427,,AU Mic,0.6,0.82,3665.0,9.7221,311.2911369,-31.34245,2020.0,Transit,,,0.12,7.84038
au mic c,2.79,14.46,18.859023,0.18,AU Mic,0.635,0.862,3540.0,9.7221,311.2911369,-31.34245,2021.0,Transit,424.7,M1 V,0.01,7.84038
au mic d,,1.053,12.73596,0.00305,AU Mic,0.51,0.744,3678.0,9.7221,311.2911369,-31.34245,2023.0,Transit Timing Variations,,,0.23,7.84038
au mic e,,21.1,33.11,,AU Mic,0.6,0.82,3665.0,9.7221,311.2911369,-31.34245,2025.0,Radial Velocity,,,0.12,7.84038
bd+03 2562 b,,2034.112,481.9,0.2,BD+03 2562,1.14,32.35,4095.0,1070.63,177.5647268,2.7601075,2017.0,Radial Velocity,,,-0.71,8.9977
bd+05 4868 a b,,6.2,1.271869,,BD+05 4868 A,0.7,0.69,4596.0,43.5687,326.8614036,6.6053185,2025.0,Transit,1820.0,K V,-0.05,9.84152
bd+14 4559 b,,467.19,268.94,0.29,BD+14 4559,0.86,0.95,5008.0,49.352,318.4010002,14.6893834,2009.0,Radial Velocity,,K2 V,0.1,9.35108
bd+15 2375 b,,337.21763,153.22,0.001,BD+15 2375,1.08,8.95,4649.0,768.045,176.4820239,14.6163182,2016.0,Radial Velocity,,,-0.22,9.9918
bd+15 2940 b,,352.78,137.48,0.26,BD+15 2940,1.1,14.7,4796.0,426.42,240.09564,15.5467507,2013.0,Radial Velocity,,K0,0.28,8.7178
bd+20 2457 b,,17668.1697,379.63,0.15,BD+20 2457,10.83,71.02,4259.0,1539.71,154.186782,19.8912626,2009.0,Radial Velocity,,,-0.79,9.22684
bd+20 2457 c,,3963.17,621.99,0.18,BD+20 2457,2.8,49.0,4137.0,1539.71,154.186782,19.8912626,2009.0,Radial Velocity,,K2 II,-1.0,9.22684
bd+20 274 b,,1334.886,578.2,0.21,BD+20 274,0.8,17.3,4296.0,1322.51,25.9203179,21.0052692,2012.0,Radial Velocity,,K5 III,-0.46,8.91613
bd+20 594 b,2.57807,22.2481,41.6855,0.0,BD+20 594,1.67,1.08,5766.0,179.461,53.6511231,20.5990205,2016.0,Transit,,,-0.15,10.8644
bd+37 3172 b,,3368.9811142,1887.76,0.59,BD+37 3172,3.75,50.24,4500.0,454.251,278.8155071,38.1153886,2023.0,Radial Velocity,,,-0.03,8.84772
bd+42 2315 b,,174.80562385,123.05,0.73,BD+42 2315,1.38,17.85,4500.0,610.715,187.5887597,41.2695674,2023.0,Radial Velocity,,,-0.2,9.43036
bd+45 564 b,,432.24663352,307.88,0.12,BD+45 564,0.81,,5004.0,53.622,32.9470485,45.9242187,2021.0,Radial Velocity,,K1,-0.09,9.41266
bd+48 738 b,,289.2253,392.6,0.2,BD+48 738,0.74,11.0,4414.0,871.493,40.7102869,49.5869395,2011.0,Radial Velocity,,K0 III,-0.2,8.65569
bd+48 740 b,,540.311,733.0,0.76,BD+48 740,1.09,10.33,4534.0,666.589,40.7425426,48.9300579,2018.0,Radial Velocity,,,-0.13,8.26449
bd+49 828 b,,508.5,2590.0,0.35,BD+49 828,1.52,7.6,4943.0,442.042,45.6406187,49.7299481,2015.0,Radial Velocity,,K0,-0.19,9.02851
bd+55 362 b,,228.83645304,265.59,0.27,BD+55 362,0.909,,5012.0,52.5697,23.9636676,56.6982282,2021.0,Radial Velocity,,K3,0.18,9.15305
bd+60 1417 b,14.68376472,4767.426105,,,BD+60 1417,1.0,0.797,4993.0,44.9543,190.8875453,60.0143636,2021.0,Imaging,1303.0,K0,,9.17439
bd+63 1405 b,,3305.4154328,1230.0,0.891,BD+63 1405,0.816,,5000.0,38.0473,271.3979337,63.6700064,2021.0,Radial Velocity,,K0,-0.09,8.705
bd-06 1339 b,,1523.03372634,3.873,,BD-06 1339,,,,20.2695,88.2511811,-5.9963378,2013.0,Radial Velocity,,,,9.10677
bd-06 1339 c,,53.0,125.94,0.31,BD-06 1339,0.7,,4324.0,20.2695,88.2511811,-5.9963378,2013.0,Radial Velocity,,K7/M0 V,-0.14,9.10677
bd-08 2823 b,,14.4,5.6,0.15,BD-08 2823,0.74,,4746.0,41.3342,150.1971964,-9.5165689,2009.0,Radial Velocity,,K3 V,-0.07,9.50331
bd-08 2823 c,,104.0,237.6,0.19,BD-08 2823,0.74,,4746.0,41.3342,150.1971964,-9.5165689,2009.0,Radial Velocity,,K3 V,-0.07,9.50331
bd-10 3166 b,,142.70495474,3.487905,0.022,BD-10 3166,0.999531,0.969745,5382.64,84.4069,164.6191243,-10.7704227,2000.0,Radial Velocity,,,0.37,9.83981
bd-11 4672 b,,168.44,1667.0,0.05,BD-11 4672,0.571,0.52,4475.0,27.1665,278.3688659,-11.6370481,2014.0,Radial Velocity,,K7 V,-0.48,9.48511
bd-11 4672 c,,15.37,74.2,0.4,BD-11 4672,0.651,0.639,4550.0,27.1665,278.3688659,-11.6370481,2020.0,Radial Velocity,,,-0.35,9.48511
bd-13 2130 b,,3108.3774,714.29999,0.21,BD-13 2130,2.12,19.17,4545.0,925.214,114.2884692,-13.9066703,2007.0,Radial Velocity,,,-0.08,9.69971
bd-14 3065 b,21.59,3932.0,4.2889731,0.066,BD-14 3065 A,1.41,2.35,6935.0,589.423,153.6696689,-15.6428372,2024.0,Transit,2001.0,,-0.34,10.91
bd-17 63 b,,1366.6621501,649.0,0.28,BD-17 63,,,,34.4603,7.1413494,-16.2273254,2008.0,Radial Velocity,,,,9.20112
bd-210397 b,,214.0,1891.0,0.1,BD-210397,0.679,0.747,4051.0,23.7324,33.3024198,-21.1962147,2023.0,Radial Velocity,,K7 V,0.12,9.25962
bd-210397 c,,1525.5763536,6240.0,0.43,BD-210397,0.69,,,23.7324,33.3024198,-21.1962147,2023.0,Radial Velocity,,K7 V,,9.25962
bebop-3 b,,177.34825111,547.0,0.247,BEBOP-3,1.083,1.414,6033.0,119.052,110.902655,79.1323952,2025.0,Radial Velocity,,,-0.02,9.1008
bebop-4 ab b,,8358.8871041,1823.5,0.428,BEBOP-4 A,1.507,,,234.294,192.5772651,26.1595358,2025.0,Radial Velocity,,G3 V,,9.43326
