pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 220773 b,,460.8,3724.7,0.51,HD 220773,1.16,,5940.0,50.5103,351.6144715,8.6428871,2011.0,Radial Velocity,,F9
hd 220842 b,,1010.6994,218.47,0.404,HD 220842,1.13,,5960.0,64.6498,351.6534162,56.8871415,2016.0,Radial Velocity,,F8
hd 221287 b,,982.05,456.1,0.08,HD 221287,1.25,,6304.0,55.9231,352.836223,-58.209754,2007.0,Radial Velocity,,F
hd 224538 b,,3655.0266805,1201.0,0.484,HD 224538,1.34,,6097.0,79.0608,359.7164302,-61.5868613,2016.0,Radial Velocity,,F8/G0 IV/V
hd 22946 d,2.607,26.57,47.42489,,HD 22946,1.098,1.117,6169.0,62.7792,54.819538,-42.7630276,2023.0,Transit,546.0,F
hd 23079 b,,845.42356262,735.74,0.07348,HD 23079,1.16,1.08,5994.0,33.4591,54.9281897,-52.9162344,2001.0,Radial Velocity,,F9.5 V
hd 23079 c,,8.26,5.748913,0.097,HD 23079,1.16,1.08,5994.0,33.4591,54.9281897,-52.9162344,2025.0,Radial Velocity,,F9.5 V
hd 231701 b,,359.1479,141.63,0.13,HD 231701,1.21,1.53,6101.0,108.877,293.017622,16.4743566,2007.0,Radial Velocity,,F8 V
hd 23596 b,,2450.37,1561.0,0.266,HD 23596,1.159,,5904.0,52.0018,57.0018601,40.5307308,2003.0,Radial Velocity,,F8 V
hd 25171 b,,290.81445,1802.29,0.042,HD 25171,1.076,1.23,6125.0,55.6146,58.9574779,-65.1863239,2010.0,Radial Velocity,,F
hd 25463 b,2.84649412,,7.04916084122,,HD 25463,,1.42717,6337.87,45.6181,60.7483361,9.2077676,2023.0,Transit,1199.74,F
hd 25463 c,1.33374248,,3.04404408205,,HD 25463,,1.42717,6337.87,45.6181,60.7483361,9.2077676,2023.0,Transit,1587.27,F
hd 26161 b,,4290.6834945,32000.0,0.82,HD 26161,1.132916,1.455981,6057.62,40.9128,62.4122255,31.6524346,2021.0,Radial Velocity,,F
hd 2685 b,,,4.1269052,0.091,HD 2685,1.43,1.56,6801.0,196.852,7.3289156,-76.304032,2019.0,Transit,,F
hd 28109 b,2.69,6.2,22.891054,0.0071,HD 28109,1.227,1.425,6189.0,139.611,65.2383065,-68.1026875,2022.0,Transit,867.0,F8
hd 28109 c,4.60744436,,56.00450564844,,HD 28109,,1.41189,6321.0,139.611,65.2383065,-68.1026875,2022.0,Transit,596.67,F
hd 28109 d,3.25,5.681,84.25999,0.0864,HD 28109,1.26,1.446,6120.0,139.611,65.2383065,-68.1026875,2022.0,Transit,506.5,F8/G0 V
hd 284149 ab b,,8352.53053596,,,HD 284149 A,,1.36,6035.0,117.807,61.6616887,20.3030344,2017.0,Imaging,2395.0,F
hd 31253 b,,141.75146952,468.7,0.44,HD 31253,1.325015,1.8288,6014.94,58.1438,73.6822877,12.3520103,2010.0,Radial Velocity,,F
hd 332231 b,,,18.71204,,HD 332231,1.127,1.277,6089.0,80.6665,306.741134,33.7443882,2020.0,Transit,,F8
hd 33283 b,,117.5971,18.179,0.48,HD 33283,1.47,1.74,6108.0,89.8623,77.0044889,-26.7976689,2006.0,Radial Velocity,,F
hd 33564 b,,2892.1,388.0,0.34,HD 33564,1.25,,6250.0,20.9531,80.6378979,79.2318488,2005.0,Radial Velocity,,F6 V
hd 40979 b,,1274.44,264.15,0.252,HD 40979,1.154,,6089.0,34.0883,91.1253346,44.2597855,2002.0,Radial Velocity,,F8 V
hd 52265 b,,346.0,119.29,0.325,HD 52265,1.2,,6076.0,29.9803,105.0746449,-5.3668142,2000.0,Radial Velocity,,F
hd 5278 b,2.45,7.8,14.339156,0.08,HD 5278,1.126,1.194,6203.0,57.5846,12.5467785,-83.7437671,2021.0,Transit,943.0,F V
hd 5278 c,,18.4,40.87,0.07,HD 5278,1.126,1.194,6203.0,57.5846,12.5467785,-83.7437671,2021.0,Radial Velocity,,F V
hd 60532 b,,336.8998,201.9,0.26,HD 60532,1.5,2.57,6245.0,25.9716,113.5130656,-22.2958661,2008.0,Radial Velocity,,F
